state3,confirmed,deaths,incidenceRate,fatalityRate
Alabama,7172,111,12837.17267,1.547685443
Alabama,21684,312,9713.574097,1.438848921
Alabama,2343,59,9491.209592,2.518139138
Alabama,2665,64,11900.50906,2.401500938
Alabama,6894,139,11921.97281,2.016246011
Alabama,1236,42,12236.41224,3.398058252
Alabama,2223,71,11430.48128,3.193882141
Alabama,14655,325,12899.96039,2.217673149
Alabama,3692,124,11102.42377,3.358613218
Alabama,1866,45,7123.22492,2.411575563
Alabama,4447,115,10009.4535,2.586013043
Alabama,613,25,4869.330368,4.078303426
Alabama,3526,61,14926.76319,1.730005672
Alabama,1583,57,11960.71024,3.600758054
Alabama,1510,43,10127.43125,2.847682119
Alabama,5613,122,10723.70181,2.173525744
Alabama,6355,139,11504.13642,2.187254131
Alabama,1127,30,9339.521008,2.661934339
Alabama,1102,29,10334.80259,2.631578947
Alabama,4223,119,11398.41831,2.817901965
Alabama,1546,57,11225.67528,3.686934023
Alabama,9872,199,11784.92981,2.015802269
Alabama,4911,114,9987.391198,2.321319487
Alabama,3599,154,9675.771588,4.27896638
Alabama,8931,188,12488.63843,2.105027433
Alabama,10272,209,12648.84434,2.034657321
Alabama,3987,78,10883.62951,1.956358164
Alabama,14036,360,13724.72328,2.564833286
Alabama,2154,62,13213.10269,2.878365831
Alabama,4282,82,13653.46598,1.914992994
Alabama,2563,81,9756.00472,3.160358954
Alabama,931,34,11478.23943,3.651987111
Alabama,2259,78,15418.74275,3.452855246
Alabama,1937,43,11258.35513,2.219927723
Alabama,10727,286,10131.08933,2.666169479
Alabama,6873,112,13313.05931,1.629564964
Alabama,80522,1549,12226.73872,1.923697871
Alabama,1457,37,10554.14705,2.539464653
Alabama,9526,245,10272.9459,2.571908461
Alabama,3086,100,9373.101689,3.2404407
Alabama,16171,173,9827.885889,1.069816338
Alabama,10133,156,10244.14902,1.539524326
Alabama,1413,54,14528.06909,3.821656051
Alabama,1624,50,8988.266549,3.078817734
Alabama,35406,517,9494.541564,1.460204485
Alabama,2503,65,13269.3633,2.59688374
Alabama,3197,102,10761.04884,3.190491085
Alabama,12365,228,12777.19222,1.843914274
Alabama,41671,821,10084.70269,1.9701951
Alabama,1790,41,8633.579318,2.290502793
Alabama,24984,603,11031.14541,2.413544669
Alabama,14547,283,12155.01466,1.945418299
Alabama,0,0,,
Alabama,1085,26,12159.58758,2.396313364
Alabama,2361,62,11846.46262,2.62600593
Alabama,3136,77,9470.314671,2.455357143
Alabama,1855,43,8163.894023,2.318059299
Alabama,4521,41,7800.072463,0.906879009
Alabama,25466,254,11697.64173,0.997408309
Alabama,10095,247,11277.8175,2.44675582
Alabama,1057,32,8505.673131,3.02743614
Alabama,8400,181,10502.88829,2.154761905
Alabama,4096,155,10146.90217,3.784179688
Alabama,26076,457,12455.39872,1.752569412
Alabama,0,0,,
Alabama,7306,278,11501.7081,3.805091705
Alabama,1701,39,10418.96362,2.292768959
Alabama,1272,30,12262.60484,2.358490566
Alabama,2797,73,11837.14927,2.609939221
Alaska,369,3,11057.83638,0.81300813
Alaska,708,1,12566.56017,0.141242938
Alaska,30837,179,10707.29167,0.580471511
Alaska,3903,22,21228.10834,0.563668973
Alaska,0,0,0,
Alaska,198,0,4925.373134,0
Alaska,437,3,6473.115094,0.686498856
Alaska,245,0,9077.436087,0
Alaska,111,0,5293.276109,0
Alaska,230,2,4678.600488,0.869565217
Alaska,8046,43,8307.778088,0.534427044
Alaska,31,0,1225.296443,0
Alaska,1469,5,4594.357916,0.340367597
Alaska,4585,22,7809.838523,0.479825518
Alaska,665,2,4783.828502,0.30075188
Alaska,1126,6,8662.871211,0.53285968
Alaska,1311,4,15768.58311,0.305110603
Alaska,11773,57,10869.02333,0.484158668
Alaska,378,0,3778.488605,0
Alaska,1087,4,11055.73637,0.367985281
Alaska,621,2,8148.536937,0.322061192
Alaska,174,1,5327.617881,0.574712644
Alaska,160,1,2579.397066,0.625
Alaska,371,1,4368.303309,0.269541779
Alaska,21,0,1775.147929,0
Alaska,744,5,10793.55868,0.672043011
Alaska,292,0,,0
Alaska,0,0,0,
Alaska,59,0,2358.113509,0
Alaska,89,2,15371.32988,2.247191011
Alaska,368,4,7036.328872,1.086956522
Arizona,11410,432,15872.13265,3.786152498
Arizona,12086,289,9598.005114,2.391196426
Arizona,17871,330,12455.74173,1.846567064
Arizona,6943,229,12853.12303,3.298286043
Arizona,5625,83,14483.61099,1.475555556
Arizona,577,10,6074.96315,1.733102253
Arizona,2480,80,11749.09987,3.225806452
Arizona,551509,10084,12295.60973,1.828437977
Arizona,23112,738,10892.58699,3.193146417
Arizona,16455,542,14834.48127,3.293831662
Arizona,0,0,,
Arizona,116997,2406,11171.52163,2.056462986
Arizona,53018,901,11456.19278,1.699422838
Arizona,8043,180,17297.51817,2.237970906
Arizona,0,0,,
Arizona,19318,508,8216.963917,2.629671809
Arizona,37247,841,17422.48125,2.257899965
Arkansas,2131,37,12186.89237,1.73627405
Arkansas,2044,35,10398.33138,1.712328767
Arkansas,3208,104,7650.481732,3.241895262
Arkansas,29422,419,10540.19295,1.424104412
Arkansas,3879,80,10362.79119,2.062387213
Arkansas,1423,32,13221.22085,2.248770204
Arkansas,412,3,7939.872808,0.72815534
Arkansas,2817,46,9926.004228,1.632942847
Arkansas,1621,41,16020.95276,2.529302899
Arkansas,2124,41,9516.129032,1.930320151
Arkansas,1792,52,12315.30479,2.901785714
Arkansas,2013,74,8078.173281,3.676105315
Arkansas,966,25,12141.77979,2.587991718
Arkansas,2363,56,10073.75197,2.369868811
Arkansas,2249,33,10788.64051,1.467318808
Arkansas,13624,182,12348.18548,1.335877863
Arkansas,7138,119,11284.12666,1.667133651
Arkansas,6150,97,12824.52299,1.577235772
Arkansas,1964,50,11961.75163,2.545824847
Arkansas,765,15,10914.53845,1.960784314
Arkansas,1367,23,12032.39151,1.682516459
Arkansas,2017,45,11070.86009,2.231036192
Arkansas,12830,164,10181.97402,1.278254092
Arkansas,1704,40,9618.966977,2.34741784
Arkansas,1149,47,9208.944458,4.09051349
Arkansas,10346,261,10409.91689,2.522714092
Arkansas,1703,33,9323.843416,1.9377569
Arkansas,6180,77,13634.85935,1.245954693
Arkansas,2016,20,9362.808843,0.992063492
