state,confirmed,deaths,incidenceRate,fatalityRate
Alabama,7257,113,12989.31429,1.557117266
Alabama,22027,315,9867.224527,1.430063104
Alabama,2346,60,9503.36223,2.557544757
Alabama,2693,64,12025.54256,2.376531749
Alabama,6987,139,12082.80012,1.989408902
Alabama,1249,42,12365.11237,3.362690152
Alabama,2262,71,11631.01604,3.138815208
Alabama,14776,330,13006.46979,2.233351381
Alabama,3736,123,11234.73868,3.292291221
Alabama,1874,45,7153.763933,2.401280683
Alabama,4481,116,10085.98181,2.588707878
Alabama,624,25,4956.708237,4.006410256
Alabama,3533,61,14956.39658,1.726577979
Alabama,1603,59,12111.82471,3.680598877
Alabama,1542,43,10342.05231,2.788586252
Alabama,5673,128,10838.33251,2.25630178
Alabama,6431,140,11641.71539,2.176955372
Alabama,1142,30,9463.826966,2.626970228
Alabama,1123,29,10531.74529,2.582368655
Alabama,4296,124,11595.45467,2.886405959
Alabama,1584,57,11501.59744,3.598484848
Alabama,10008,201,11947.28297,2.008393285
Alabama,4946,117,10058.56992,2.365547918
Alabama,3622,159,9737.606194,4.389839867
Alabama,9028,190,12624.2781,2.10456358
Alabama,10315,214,12701.79414,2.07464857
Alabama,4035,80,11014.65891,1.982651797
Alabama,14241,366,13925.17699,2.570044238
Alabama,2201,63,13501.41087,2.862335302
Alabama,4326,81,13793.76315,1.872399445
Alabama,2593,81,9870.199079,3.123794832
Alabama,937,34,11552.21304,3.628601921
Alabama,2274,78,15521.12484,3.430079156
Alabama,1953,44,11351.35135,2.252944188
Alabama,10840,289,10237.8119,2.666051661
Alabama,7040,114,13636.53973,1.619318182
Alabama,81290,1569,12343.3545,1.930126707
Alabama,1476,38,10691.77834,2.574525745
Alabama,9645,251,10401.27684,2.602384655
Alabama,3144,100,9549.264974,3.180661578
Alabama,16332,177,9925.733247,1.08376194
Alabama,10209,158,10320.98266,1.547654031
Alabama,1421,54,14610.32285,3.800140746
Alabama,1635,52,9049.147664,3.180428135
Alabama,35846,526,9612.532816,1.467388272
Alabama,2509,66,13301.17161,2.630530092
Alabama,3286,106,11060.62136,3.225806452
Alabama,12493,231,12909.45915,1.84903546
Alabama,42393,839,10259.43225,1.979100323
Alabama,1826,41,8807.21555,2.245345016
Alabama,25124,614,11092.95939,2.443878363
Alabama,14666,287,12254.44731,1.956907132
Alabama,0,0,,
Alabama,1087,27,12182.00157,2.483900644
Alabama,2372,62,11901.6558,2.613827993
Alabama,3150,78,9512.592861,2.476190476
Alabama,1882,44,8282.721591,2.337938363
Alabama,4560,42,7867.359086,0.921052632
Alabama,25725,255,11816.6117,0.991253644
Alabama,10201,250,11396.23738,2.450740124
Alabama,1062,32,8545.908103,3.013182674
Alabama,8482,185,10605.41649,2.181089366
Alabama,4153,155,10288.10662,3.732241753
Alabama,26229,464,12528.48033,1.769034275
Alabama,0,0,,
Alabama,7371,282,11604.03646,3.825803826
Alabama,1706,39,10449.58961,2.286049238
Alabama,1272,31,12262.60484,2.437106918
Alabama,2838,72,12010.66486,2.536997886
Alaska,369,3,11057.83638,0.81300813
Alaska,732,1,12992.54526,0.136612022
Alaska,31233,181,10844.79167,0.579515256
Alaska,3919,22,21315.13108,0.561367696
Alaska,0,0,0,
Alaska,203,0,5049.751244,0
Alaska,441,3,6532.365575,0.680272109
Alaska,254,0,9410.892923,0
Alaska,114,0,5436.337625,0
Alaska,234,2,4759.967453,0.854700855
Alaska,8085,44,8348.04696,0.544217687
Alaska,31,0,1225.296443,0
Alaska,1504,5,4703.821855,0.332446809
Alaska,4611,22,7854.125502,0.477119931
Alaska,674,2,4848.572045,0.296735905
Alaska,1128,6,8678.258194,0.531914894
Alaska,1403,4,16875.15035,0.28510335
Alaska,11872,60,10960.42173,0.505390836
Alaska,406,0,4058.376649,0
Alaska,1090,4,11086.24898,0.366972477
Alaska,627,2,8227.266763,0.318979266
Alaska,174,1,5327.617881,0.574712644
Alaska,183,2,2950.185394,1.092896175
Alaska,379,2,4462.498528,0.527704485
Alaska,22,0,1859.678783,0
Alaska,773,5,11214.27535,0.64683053
Alaska,293,0,,0
Alaska,0,0,0,
Alaska,67,0,2677.857714,0
Alaska,84,2,14507.77202,2.380952381
Alaska,370,4,7074.56979,1.081081081
Arizona,11491,436,15984.80949,3.794273779
Arizona,12206,293,9693.302203,2.400458791
Arizona,18051,331,12581.19825,1.833693424
Arizona,7089,229,13123.40331,3.230356891
Arizona,5594,85,14403.7902,1.519485163
Arizona,577,10,6074.96315,1.733102253
Arizona,2495,78,11820.16297,3.126252505
Arizona,560181,10280,12488.94751,1.835121148
Arizona,23764,752,11199.87181,3.164450429
Arizona,16694,552,15049.94411,3.306577213
Arizona,0,0,,
Arizona,117731,2427,11241.60801,2.061479135
Arizona,54003,907,11669.03276,1.679536322
Arizona,8085,180,17387.84464,2.226345083
Arizona,0,0,,
Arizona,19595,528,8334.786622,2.69456494
Arizona,37319,848,17456.15964,2.272300973
Arkansas,2219,38,12690.15212,1.7124831
Arkansas,2062,35,10489.90182,1.697381183
Arkansas,3445,104,8215.682534,3.018867925
Arkansas,29891,423,10708.2084,1.415141681
Arkansas,4059,80,10843.66318,1.9709288
Arkansas,1460,33,13564.99117,2.260273973
Arkansas,422,3,8132.588167,0.710900474
Arkansas,2887,46,10172.6568,1.593349498
Arkansas,1629,41,16100.01977,2.516881522
Arkansas,2214,41,9919.354839,1.851851852
Arkansas,1807,52,12418.39049,2.877697842
Arkansas,2074,74,8322.966411,3.567984571
Arkansas,997,25,12531.42283,2.507522568
Arkansas,2407,57,10261.32924,2.368093062
Arkansas,2266,34,10870.19092,1.500441306
